formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C12H17NO3	[M + H]+	C12H18NO3+	Alkaloids	0.951	Tyrosine alkaloids	0.931	Phenylethylamines	0.835	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.991	Aralkylamines	0.787	Aralkylamines	0.787	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Dialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Secondary amines; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	224.128	30	0.494	625933049586600780	625930772599586851	1252	
1	C5H11NO2	[M + H]+	C5H12NO2+	Amino acids and Peptides	0.992	Small peptides	0.996	Aminoacids	0.994	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.976	Amino acids and derivatives	0.975	Alpha amino acids	0.663	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Amino acids; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	118.086	30	0.494	625933029625901998	625930710796512671	283	
1	C8H21N2P	[M + H]+	C8H22N2P+	Fatty acids	0.930	Fatty acyls	0.953	Hydrocarbons	0.197	Organophosphorus compounds	0.603							Organophosphorus compounds	0.603	Organic compounds; Organophosphorus compounds; Hydrocarbon derivatives; Chemical entities	177.151	30	0.496	625933020817861548	625930747484092449	831	
1	C6H9N3O	[M + H]+	C6H10N3O+	Alkaloids	0.742	Small peptides	0.092	Aminoacids	0.068	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Guanidines	0.850			Guanidines	0.850	Organic compounds; Organonitrogen compounds; Guanidines; Carboximidamides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	140.080	32	0.532	625933027285479678	625930725921173925	490	
1	C12H12O2S	[M + H]+	C12H13O2S+	Shikimates and Phenylpropanoids	0.600	Monoterpenoids	0.059	Simple coumarins	0.076	Benzenoids	0.883	Benzene and substituted derivatives	0.607					Benzene and substituted derivatives	0.607	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Thioethers; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	221.062	32	0.532	625933040375905669	625930770821201805	1221	
1	C6H10N2O3	[M + H]+	C6H11N2O3+	Amino acids and Peptides	0.909	Small peptides	0.931	Aminoacids	0.906	Organic acids and derivatives	0.977	Carboxylic acids and derivatives	0.920	Amino acids, peptides, and analogues	0.591	Amino acids and derivatives	0.592	Amino acids and derivatives	0.592	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Ureas; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	159.077	34	0.571	625933030544454733	625930737442927878	669	
1	C10H17N5O	[M + H]+	C10H18N5O+	Alkaloids	0.850	Pseudoalkaloids (transamidation)	0.466	Purine alkaloids	0.480	Organoheterocyclic compounds	0.997	Diazines	0.722	Pyrimidines and pyrimidine derivatives	0.646	Aminopyrimidines and derivatives	0.596	Aminopyrimidines and derivatives	0.596	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	224.150	34	0.571	625933045857862738	625930772704444461	1254	
1	C6H13NO2	[M + H]+	C6H14NO2+	Fatty acids	0.866	Fatty Acids and Conjugates	0.683	Aminoacids	0.621	Organic acids and derivatives	0.964	Carboxylic acids and derivatives	0.954	Amino acids, peptides, and analogues	0.524	Amino acids and derivatives	0.525	Amino acids and derivatives	0.525	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	132.102	43	0.711	625933034411603811	625930721366159461	426	
1	C14H32N2O4	[M + H]+	C14H33N2O4+	Fatty acids	0.873	Fatty amides	0.187	N-acyl amines	0.114	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.999	Amines	0.990	Alkanolamines	0.849	1,2-aminoalcohols	0.850	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	293.243	46	0.761	625933022281673984	625930808989371400	1869	
1	C9H14N3O5	[M + H]+	C9H15N3O5+	Amino acids and Peptides	0.973	Small peptides	0.942	Dipeptides	0.358	Organic acids and derivatives	0.962	Carboxylic acids and derivatives	0.908	Amino acids, peptides, and analogues	0.832	Amino acids and derivatives	0.827	Alpha amino acids	0.621	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	245.100	47	0.787	625933054875620996	625930783060181912	1433	
3	C4H6N6O3	[M + H]+	C4H7N6O3+	Amino acids and Peptides	0.563	Small peptides	0.595	Aminoacids	0.552	Organic acids and derivatives	0.805	Carboxylic acids and derivatives	0.657					Carboxylic acids and derivatives	0.657	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	187.058	53	0.877	625933030775141512	625930753205123575	926	
1	C2H5ClNOP	[M + H]+	C2H6ClNOP+	Alkaloids	0.469	Pseudoalkaloids (transamidation)	0.022	Halogenated fatty acids	0.029	Organohalogen compounds	0.930	Alkyl halides	0.686	Alkyl chlorides	0.700			Alkyl chlorides	0.700	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl chlorides; Organochlorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	125.986	56	0.934	625933052191264918	625930716978917157	361	
1	C4H6N4S	[M + H]+	C4H7N4S+	Alkaloids	0.640	Histidine alkaloids	0.690	Imidazole alkaloids	0.690	Organoheterocyclic compounds	0.992	Azoles	0.904	Triazoles	0.513			Triazoles	0.513	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Triazoles; Organonitrogen compounds; Azoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	143.040	57	0.952	625933028002706002	625930727917662784	521	
1	C2H3N3S	[M + H]+	C2H4N3S+	Alkaloids	0.700	Histidine alkaloids	0.445	Imidazole alkaloids	0.444	Organoheterocyclic compounds	0.993	Azoles	0.959	Triazoles	0.787			Triazoles	0.787	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Triazoles; Organonitrogen compounds; Azoles; Sulfenyl compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	102.013	58	0.972	625933018821372481	625930703053826962	175	
1	C6H10N4O4S	[M + H]+	C6H11N4O4S+	Amino acids and Peptides	0.927	Small peptides	0.584	Aminoacids	0.626	Lipids and lipid-like molecules	0.369	Fatty Acyls	0.335	Fatty acids and conjugates	0.565			Fatty acids and conjugates	0.565	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	235.049	62	1.029	625933050509348115	625930778249314799	1347	
2	C4H8N6O2	[M + H]+	C4H9N6O2+	Alkaloids	0.743	Small peptides	0.129	Aminoacids	0.103	Organoheterocyclic compounds	0.519	Azacyclic compounds	0.538					Azacyclic compounds	0.538	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	173.079	62	1.029	625933045920777341	625930745076561768	794	
1	C7H12N2S2	[M + H]+	C7H13N2S2+	Alkaloids	0.245	Oligopeptides	0.079	Imidazole alkaloids	0.060	Organoheterocyclic compounds	0.635	Thiadiazinanes	0.520					Thiadiazinanes	0.520	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Thiadiazinanes; Dithiocarbamic acids and derivatives; Dithiocarbamic acid esters; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	189.052	63	1.055	625933044742177411	625930754354362966	945	
1	C8H12BO2	[M + H]+	C8H13BO2+	Terpenoids	0.365	Monoterpenoids	0.476	Pinane monoterpenoids	0.349	Organic acids and derivatives	0.790	Boronic acid derivatives	0.679	Boronic acids	0.743			Boronic acids	0.743	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Boronic acids; Organometallic compounds; Boronic acid derivatives; Organometalloid compounds; Organoboron compounds; Organic salts; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	151.104	64	1.067	625933026480173147	625930732409762693	589	
1	C5H6O2	[M + H]+	C5H7O2+	Fatty acids	0.973	Fatty Acids and Conjugates	0.865	Unsaturated fatty acids	0.773	Lipids and lipid-like molecules	0.357	Fatty Acyls	0.399	Fatty acids and conjugates	0.466	Unsaturated fatty acids	0.649	Unsaturated fatty acids	0.649	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	99.044	66	1.106	625933049095867061	625930700583381746	143	
1	C6H13N	[M + H]+	C6H14N+	Alkaloids	0.919	Pseudoalkaloids (transamidation)	0.827	Acetate-derived alkaloids	0.951	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.884	Primary amines	0.560	Monoalkylamines	0.553	Organic compounds; Organonitrogen compounds; Monoalkylamines; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	100.112	66	1.106	625933048668047905	625930701518711598	155	
1	C3H6O5S	[M + H]+	C3H7O5S+	Fatty acids	0.853	Fatty Acids and Conjugates	0.698	Dicarboxylic acids	0.196	Organic acids and derivatives	0.999	Organic sulfonic acids and derivatives	0.625	Organosulfonic acids and derivatives	0.622			Organosulfonic acids and derivatives	0.622	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities	155.002	66	1.106	625933039931309165	625930734523692069	621	
1	C10H16N4O5S	[M + H]+	C10H17N4O5S+	Amino acids and Peptides	0.613	Histidine alkaloids	0.340	Imidazole alkaloids	0.344	Organoheterocyclic compounds	0.891	Azacyclic compounds	0.829					Azacyclic compounds	0.829	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Thioethers; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305.091	66	1.106	625933064283448134	625930815255662106	1979	
1	C8H19N	[M + H]+	C8H20N+	Fatty acids	0.695	Fatty acyls	0.510	Polyamines	0.819	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.950	Secondary amines	0.570	Dialkylamines	0.658	Organic compounds; Organonitrogen compounds; Dialkylamines; Amines; Secondary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	130.159	75	1.258	625932992007186896	625930720439218202	411	
1	C9H11NO2	[M + H]+	C9H12NO2+	Amino acids and Peptides	0.890	Small peptides	0.688	Aminoacids	0.544	Organic acids and derivatives	0.956	Carboxylic acids and derivatives	0.920	Amino acids, peptides, and analogues	0.643	Amino acids and derivatives	0.641	Amino acids and derivatives	0.641	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	166.086	80	1.335	625933047271343986	625930740743845381	723	
1	C7H12N6O4	[M + H]+	C7H13N6O4+	Alkaloids	0.355	Small peptides	0.157	Imidazole alkaloids	0.093	Organoheterocyclic compounds	0.832	Heteroaromatic compounds	0.784					Heteroaromatic compounds	0.784	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Amines; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	245.099	80	1.335	625933035716032732	625930783009850259	1432	
1	C8H11N	[M + H]+	C8H12N+	Alkaloids	0.873	Nicotinic acid alkaloids	0.987	Pyridine alkaloids	0.987	Benzenoids	0.425	Benzene and substituted derivatives	0.399	Aniline and substituted anilines	0.568			Aniline and substituted anilines	0.568	Organic compounds; Pyridines and derivatives; Organonitrogen compounds; Aniline and substituted anilines; Amines; Tertiary amines; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	122.096	80	1.336	625933046793193015	625930713715748435	319	
1	C13H24N2O3	[M + H]+	C13H25N2O3+	Amino acids and Peptides	0.653	Small peptides	0.624	Dipeptides	0.353	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.993	Amino acids, peptides, and analogues	0.917	Amino acids and derivatives	0.915	Alpha amino acids and derivatives	0.691	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Dialkylamines; Amines; Secondary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	257.186	82	1.360	625933050484182275	625930790194693616	1554	
1	C4H6N4S	[M + H]+	C4H7N4S+	Alkaloids	0.802	Histidine alkaloids	0.540	Imidazole alkaloids	0.539	Organoheterocyclic compounds	0.980	Azoles	0.881	Triazoles	0.722			Triazoles	0.722	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Triazoles; Organonitrogen compounds; Azoles; Sulfenyl compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	143.039	86	1.431	625933043991396624	625930727745696305	518	
1	C5H11NO2	[M + H]+	C5H12NO2+	Amino acids and Peptides	0.981	Small peptides	0.991	Aminoacids	0.988	Organic acids and derivatives	0.992	Carboxylic acids and derivatives	0.988	Amino acids, peptides, and analogues	0.855	Amino acids and derivatives	0.854	Alpha amino acids and derivatives	0.573	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	118.086	92	1.525	625933037033044432	625930710721015194	282	
1	C8H11NO	[M + H]+	C8H12NO+	Alkaloids	0.982	Nicotinic acid alkaloids	0.809	Pyridine alkaloids	0.810	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbonyl compounds	0.953	Ketones	0.929	Aryl alkyl ketones	0.691	Organic compounds; Organoheterocyclic compounds; Ketones; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Aryl ketones; Aryl alkyl ketones; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	138.092	94	1.564	625933025221881692	625930724583190849	470	
